название,ссылка,тип,тематика,аудитория,есть_чат,приоритет,заметка
Русский маркетинг,https://t.me/s/smmrus,канал,smm,125000,да,2,Авторский канал о маркетинге и SMM с обсуждением трендов и инсайтов
SMM room,https://t.me/s/smm_ru,канал,smm,50000,неизвестно,2,Канал о маркетинге и SMM от Артёма Рытова
SEO канал Михаила Шакина,https://t.me/shakinru,канал,seo,,неизвестно,2,Еженедельные чаты с SEO экспертами и полезные ссылки по SEO
SMMplanner,https://t.me/smmplanner,канал,smm,,да,2,Сервис управления контентом - новости и советы по SMM
FireSEO,https://t.me/s/fireseo,канал,seo,,неизвестно,2,Много SEO кейсов и практических примеров
Breaking Trends,https://t.me/breakingtrends,канал,общий,30000,да,2,Анализ PR кампаний и тренды в маркетинге
PR bez poshady,https://t.me/prbezposhady,канал,orm,,да,3,Крупнейший телеграм-канал о PR с разбором кампаний
Джобстер Digital,https://t.me/s/digital_jobster,канал,общий,40000,неизвестно,2,Профильные вакансии для маркетологов и контент-менеджеров
SMM с Дамиром Халиловым,https://t.me/damirkhalilov,канал,smm,23000,да,2,Эксперт с 15+ годами опыта - инструменты и кейсы SMM
Netpeak,https://t.me/s/Netpeak,канал,seo,,неизвестно,2,Тренды в интернет-маркетинге и механика SEO
Удаленка. Вакансии и резюме,https://t.me/s/rabota_freelancee,канал,общий,,неизвестно,3,Удалённая работа в маркетинге и digital - SMM вакансии
Digital вакансии в Telegram,https://t.me/s/vacanciesrus,канал,общий,,неизвестно,3,Вакансии для digital-специалистов и маркетологов
IT-Agency о маркетинге,https://t.me/s/itagency,канал,общий,,неизвестно,2,Статьи об интернет-маркетинге и digital-стратегиях
Ozhgibesov.Agency: поисковый маркетинг,https://t.me/s/ozhgibesov_agency,канал,seo,,неизвестно,1,Комплексный поисковый маркетинг - SEO и контент
2ГИС Бизнес,https://t.me/s/Business2GIS,канал,гео,,неизвестно,1,Официальный канал 2ГИС для бизнеса - локальный маркетинг
Салоны красоты Москвы,https://t.me/s/beautymosorg,канал,beauty,,да,1,Коммерческие предложения и маркетинг для салонов красоты
Салоны красоты Москва (чат),https://t.me/beautymosgrup,чат,beauty,,да,1,Чат для специалистов и владельцев салонов красоты
Фриланс Таверна,https://t.me/s/freelancetaverna,канал,общий,,неизвестно,3,Вакансии и заказы для маркетологов-фрилансеров
Умный копирайтинг,https://t.me/s/smartcopywriting,канал,smm,,неизвестно,2,Контент-маркетинг и копирайтинг для SMM
Копирайтер, редактор — удаленная работа,https://t.me/s/self_ma,канал,общий,,неизвестно,3,Вакансии для копирайтеров и контент-менеджеров
Продуктовый маркетинг | PMM BAZA,https://t.me/s/pmm_1,канал,общий,,да,2,Обсуждение продуктового маркетинга и бизнес-стратегий
Amplifr,https://t.me/s/amplifr,канал,smm,,неизвестно,2,Новости SMM и советы по управлению соцсетями
Digital Bar,https://t.me/s/digitalbar,канал,общий,,неизвестно,2,Примеры современной рекламы и новости индустрии
SEO life,https://t.me/s/seolife,канал,seo,,да,2,Контент по SEO и обсуждения из SEO-чата
Практика SMM,https://t.me/s/praktika_smm,канал,smm,,да,2,9+ лет опыта - наблюдения и кейсы с реальными проектами
Медиа Сутра,https://t.me/s/mediasuttra,канал,общий,,неизвестно,2,Медиа-новости и маркетинг в России
Brand Analytics - цифры и тренды,https://t.me/s/BrandAnalytics,канал,общий,,неизвестно,2,Аналитика брендов и тренды маркетинга
SMM Маркетинг,https://t.me/s/smmrf,канал,smm,,неизвестно,2,Общая подборка каналов о маркетинге и SMM
Ищу СММ | Вакансии | Работа,https://t.me/s/search_smm,канал,общий,,неизвестно,3,Доска объявлений для специалистов SMM
Палиндром,https://t.me/s/rdslv,канал,общий,,неизвестно,2,Марок-статьи и кейсы в маркетинге
Работа талантам + удаленка,https://t.me/s/talentedpeoples,канал,общий,,неизвестно,3,Фриланс-работа для маркетологов и дизайнеров
Фриланс | Удаленная работа,https://t.me/s/frilans,канал,общий,,неизвестно,3,Вакансии для маркетологов на фриланс
Маркетинг WHOяркетинг,https://t.me/s/marketinghuyarketing,канал,общий,,неизвестно,2,Авторский канал о маркетинге и бизнесе
Телеметр,https://t.me/telemetr_me,канал,общий,,неизвестно,2,Аналитика и каталог Telegram-каналов для маркетологов
Помогатор | Фриланс,https://t.me/s/THE_POMOGATOR,канал,общий,,неизвестно,3,Вакансии и работа для фрилансеров в маркетинге
IT Фриланс | Вакансии,https://t.me/s/FreeVacanciesIT,канал,общий,,неизвестно,3,Вакансии для digital-специалистов
Ищу работу в Маркетинге PR,https://t.me/LookingMarketingJob,чат,общий,,да,3,Чат для поиска и предложения работы в маркетинге
SMMLANCER,https://t.me/smmlancer,канал,smm,,неизвестно,2,Работа в соцсетях и SMM для специалистов
DIGITAL Tender,https://t.me/s/digitaltender,канал,общий,,неизвестно,3,Фриланс-заказы и тендеры для digital-специалистов
Горячие свежести по маркетингу,https://t.me/s/gorachibiz,канал,общий,,неизвестно,2,Новости и тренды маркетинга в бизнесе
SOSTAV Digital,https://t.me/s/sostavblog,канал,общий,,неизвестно,2,Статьи Sostav.ru о маркетинге и digital-стратегиях
Лайкни,https://t.me/s/laikni_media,канал,общий,,неизвестно,2,Статьи о маркетинге и интернет-рекламе
SEONews,https://t.me/s/seonewsru,канал,seo,,неизвестно,2,Новости SEO и интернет-маркетинга
Vc.ru Marketing,https://t.me/s/vcru_marketing,канал,общий,,неизвестно,2,Статьи vc.ru о маркетинге и стартапах
Нетология,https://t.me/netology_ru,канал,общий,,да,2,Образовательный контент и вакансии в маркетинге
Forbes Russia,https://t.me/ForbesRussia,канал,общий,,неизвестно,2,Бизнес и маркетинг из Forbes для стратегов
